,comments,preprocessed comments,sentiment
594,that looks sooo bad omfg,looks sooo bad omfg,negative
595,finally an alien movie that seems is going back to the feel and look of the original,finally alien movie seems going back feel look original,positive
596,perhaps the worst film in childhood,perhaps worst film childhood,negative
597,more cgi bunk,cgi bunk,positive
598,reading the comments here makes me wonder if all you people do is complain watch the movie enjoy it if you dont wanna watch it because its the same as the other alien movies then dont literally nobody cares just a bunch of complaining crybabies,reading comments makes wonder people complain watch movie enjoy dont wan na watch alien movies dont literally nobody cares bunch complaining crybabies,positive
599,half the movie is already spoiled with this trailer whats the point to see this also looks like generic modern hollywood blockbuster horror film,half movie already spoiled trailer whats point see also looks like generic modern hollywood blockbuster horror film,positive
600,best thing is alien logo showing up at the end of this trailer,best thing alien logo showing end trailer,positive
601,what is wrong with casting directors these days,wrong casting directors days,negative
602,this looks so fking good alien drop of blood robot,looks fking good alien drop blood robot,positive
603,this is the sequel for the movie years ago,sequel movie years ago,neutral
604,the best part about these trailers so far is that fede alvarez said in an interview when the teaser trailer came out he doesnt want to show too much of this movie,best part trailers far fede alvarez said interview teaser trailer came doesnt want show much movie,positive
605,looks typically boring and derivative,looks typically boring derivative,negative
606,this looks great and using some british actors gives it a much more real and gritty feel,looks great using british actors gives much real gritty feel,positive
607,wheres david,wheres david,neutral
608,whoa this is the real trailer instead of one of the eight hundred phony ones that have been floating around for a year,whoa real trailer instead one eight hundred phony ones floating around year,positive
609,hold still open your mouth facehugger,hold still open mouth facehugger,neutral
610,red heart,red heart,neutral
611,they ruined the most iconic scifi horror movies by turning them into poorly conceived franchises the original films had unique compelling stories but the sequels and spinoffs often feel like cash grabs lacking the originals creativity and suspense,ruined iconic scifi horror movies turning poorly conceived franchises original films unique compelling stories sequels spinoffs often feel like cash grabs lacking originals creativity suspense,positive
